No,Brewery Name,Country,Untappd Rating,Specialty
48,Nøgne Ø,Norway,3.77,Безкомпромісний традиційний крафт
49,Sibeeria,Czech Republic,3.76,Празький сучасний сезонний крафт
50,Siren Craft Castle,UK,3.75,Стабільна хмелева та стаутна лінійка
51,La Trappe,Netherlands,3.75,Голландські траппісти (Quadrupel)
52,To Øl,Denmark,3.74,Технологічні хай-тек елі
53,Chimay,Belgium,3.73,Найвідоміші у світі траппістські елі
54,Duvel Moortgat,Belgium,3.72,Золотий стандарт бельгійського міцного
55,Frontaal Brewing Co.,Netherlands,3.71,Збалансовані IPA та бочкові серії
56,Orval,Belgium,3.69,Траппістське пиво з дикими дріжджами
57,Brouwerij Rodenbach,Belgium,3.69,Фландрійські червоні кислі елі
58,De Molen,Netherlands,3.69,Легендарні європейські імперські стаути
59,Samuel Smith,UK,3.69,Стара органіка (Oatmeal Stout)
60,Brouwerij Verhaeghe,Belgium,3.68,Кисло-солодкий Duchesse de Bourgogne
61,Brasserie Dupont,Belgium,3.68,Еталонний фермерський стиль Saison
62,Schlenkerla,Germany,3.67,Еталонне копчене пиво (Rauchbier)
63,Brasserie d'Achouffe,Belgium,3.66,Міцні елі з гномом (La Chouffe)
64,Mikkeller,Denmark,3.66,"Знаменитий фантомний крафт, якісний Б/А"
65,Lagunitas Brewing Co.,USA,3.66,Доступні американські IPA з вираженою гіркотою
66,Schneider Weisse,Germany,3.66,Найкращі німецькі пшеничні вайценбоки
67,Ayinger Privatbrauerei,Germany,3.65,Зразкова баварська класика (Doppelbock)
68,Wild Beer Co.,UK,3.65,Майстри дикого бродіння та бочок
69,Augustiner-Bräu München,Germany,3.64,Культові мюнхенські табори (Edelstoff)
70,Uiltje Brewing Company,Netherlands,3.63,"Комікс-дизайн банок, свіжі IPA"
71,Rogue Ales,USA,3.61,Експериментальний американський крафт з Орегону
72,Anderson Valley,USA,3.61,Зразкові американські фруктові гозе
73,Fuller's,UK,3.61,Класичні лондонські елі (London Pride)
74,Weihenstephan,Germany,3.61,"Найстаріша броварня світу, ідеальний вайсбір"
75,Brouwerij De Ranke,Belgium,3.61,Натуральне пиво з цільними шишками хмелю
76,Thornbridge Brewery,UK,3.60,Творці культового Jaipur IPA
77,Tiny Rebel,UK,3.59,Яскравий уельський фруктовий крафт
78,Brouwerij 't IJ,Netherlands,3.59,Крафтовий Амстердам біля вітряка
79,Omer Vander Ghinste,Belgium,3.59,Традиційні бленди (Cuvée des Jacobins)
80,Brouwerij Lindemans,Belgium,3.58,Популярні фруктові ламбіки (Kriek)
81,Kees,Netherlands,3.58,Щільні міцні портери та IPA
82,BrewDog,UK,3.58,Шотландський крафт-гігант (Punk IPA)
83,Sierra Nevada,USA,3.56,Батьки американського крафту (Pale Ale)
84,Huyghe Brewery,Belgium,3.55,Знаменитий міцний ель Delirium Tremens
85,Brouwerij De Halve Maan,Belgium,3.55,Автентичне пиво з Брюгге (Straffe Hendrik)
86,Brasserie de la Senne,Belgium,3.55,Сучасні сухі гіркі брюссельські елі
87,Riegele BierManufaktur,Germany,3.55,Крафтова лінійка від старої класичної броварні
88,Erdinger Weissbräu,Germany,3.55,Класичне масове німецьке пшеничне
89,Brussels Beer Project,Belgium,3.54,Нова модернова хвиля бельгійського крафту
90,Jopen,Netherlands,3.54,Крафтові традиції з міста Гарлем
91,Belhaven Brewery,UK,3.52,"Шотландська класика, нітро-стаут"
92,Maisel & Friends,Germany,3.51,Доступна німецька крафтова лінійка
93,Paulaner Brauerei,Germany,3.51,Один із головних гігантів Октоберфесту
94,Brooklyn Brewery,USA,3.49,Популярна нью-йоркська крафт-класика
95,Lefebvre,Belgium,3.48,Пшеничне Blanche de Bruxelles
96,St. Peter's Brewery,UK,3.48,Традиційні англійські елі в овальних пляшках
97,Wychwood Brewery,UK,3.46,Відомий ель Hobgoblin
98,Pivovar Matuška,Czech Republic,3.80,Авторитетний чеський мікрокрафт
99,Pilsner Urquell,Czech Republic,3.37,Родоначальник усіх світлих лагерів у світі
100,Budweiser Budvar,Czech Republic,3.29,Зразковий класичний чеський преміум-лагер
